mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/2	1	1	d.i{		d	i		i	i						{	m	1	1	2, -1, 3		2	2	1	3	0.25	0.5	2.0	0.2
2	2	1/2	1/2	4/2	1	1	III		d	i		III	III							M	1	1	-1, 3, 0		-1	-1	1	2	0.3333333333333333	0.25	0.75	0.25
2	2	1	1	4/2	1	1	III6		d	i		III6	III		6					M	1	1	3, 0, -1		-1	3	1	2	0.3333333333333333	0.25	0.75	0.25
2	2	3/2	3/2	4/2	1	1	VII		d	i		VII	VII							M	1	1	0, 4, 1		0	0	0	2	0.0	0.0	1.0	0.0
3	3	0	0	4/2	1	1	VI		d	i		VI	VI							M	1	1	-2, 2, -1		-2	-2	0	2	0.0	0.0	1.0	0.0
3	3	1/2	1/2	4/2	1	1	i		d	i		i	i							m	1	1	2, -1, 3		2	2	1	3	0.25	0.25	1.75	0.125
3	3	1	1	4/2	1	1	i6		d	i		i6	i		6					m	1	1	-1, 3, 2		2	-1	1	2	0.3333333333333333	0.25	0.75	0.25
3	3	3/2	3/2	4/2	1	1	IV		d	i		IV	IV							M	1	1	1, 5, 2		1	1	0	3	0.0	0.0	1.5	0.0
4	4	0	0	4/2	1	1	v		d	i		v	v							m	1	1	3, 0, 4		3	3	2	4	0.3333333333333333	0.5	2.0	0.2
4	4	1	1	4/2	1	1	III	i6	d	i		III	III							M	1	1	-1, 3, 0		-1	-1	1	3	0.25	0.25	1.25	0.16666666666666666
4	4	3/2	3/2	4/2	1	1	i		d	i		i	i							m	1	1	2, -1, 3		2	2	0	4	0.0	0.0	2.0	0.0
5	5	0	0	4/2	1	1	v		d	i		v	v							m	1	1	3, 0, 4		3	3	0	4	0.0	0.0	2.0	0.0
5	5	1/2	1/2	4/2	1	1	i6		d	i		i6	i		6					m	1	1	-1, 3, 2		2	-1	1	3	0.25	0.25	1.25	0.16666666666666666
5	5	1	1	4/2	1	1	ii		d	i		ii	ii							m	1	1	4, 1, 5		4	4	0	3	0.0	0.0	1.5	0.0
5	5	3/2	3/2	4/2	1	1	i		d	i		i	i							m	1	1	2, -1, 3		2	2	4	7	0.36363636363636365	1.0	2.5	0.2857142857142857
6	6	1/2	1/2	4/2	1	1	v6		d	i		v6	v		6					m	1	1	0, 4, 3		3	0	0	3	0.0	0.0	2.0	0.0
6	6	1	1	4/2	1	1	ii%65/v		d	i		ii%65/v	ii	%	65		v			%7	1	1	2, -1, 3, 5		5	2	0	2	0.0	0.0	1.5	0.0
6	6	3/2	3/2	4/2	1	1	V/v		d	i		V/v	V				v			M	1	1	4, 8, 5		4	4	0	2	0.0	0.0	1.0	0.0
7	7	0	0	4/2	1	1	VI/v}{		d	i		VI/v	VI				v		}{	M	1	1	-1, 3, 0		-1	-1	0	4	0.0	0.0	2.0	0.0
7	7	1/2	1/2	4/2	1	1	iv		d	i		iv	iv							m	1	1	1, -2, 2		1	1	0	3	0.0	0.0	2.25	0.0
7	7	961/1920	961/1920	4/2	1	1	V		d	i		V	V							M	1	1	3, 7, 4		3	3	2	4	0.3333333333333333	0.5	1.75	0.2222222222222222
8	8	0	0	4/2	1	1	i}{		d	i		i	i						}{	m	1	1	2, -1, 3		2	2	1	6	0.14285714285714285	0.25	3.25	0.07142857142857142
8	8	1	1	4/2	1	1	iv65		d	i		iv65	iv		65					mm7	1	1	-2, 2, -1, 1		1	-2	1	2	0.3333333333333333	0.25	1.25	0.16666666666666666
8	8	3/2	3/2	4/2	1	1	iio6		d	i		iio6	ii	o	6					o	1	1	1, -2, 4		4	1	0	2	0.0	0.0	1.0	0.0
9	9	0	0	4/2	1	1	i		d	i		i	i							m	1	1	2, -1, 3		2	2	0	3	0.0	0.0	2.0	0.0
9	9	1/2	1/2	4/2	1	1	III		d	i		III	III							M	1	1	-1, 3, 0		-1	-1	2	5	0.2857142857142857	0.5	2.5	0.16666666666666666
9	9	3/2	3/2	4/2	1	1	V6/III		d	i		V6/III	V		6		III			M	1	1	4, 1, 0		0	4	0	3	0.0	0.0	1.5	0.0
10	10	0	0	4/2	1	1	III}{		d	i		III	III						}{	M	1	1	-1, 3, 0		-1	-1	1	5	0.16666666666666666	0.25	3.25	0.07142857142857142
10	10	1	1	4/2	1	1	i6		d	i		i6	i		6					m	1	1	-1, 3, 2		2	-1	1	3	0.25	0.25	1.75	0.125
10	10	3/2	3/2	4/2	1	1	iv		d	i		iv	iv							m	1	1	1, -2, 2		1	1	0	6	0.0	0.0	3.0	0.0
11	11	1/2	1/2	4/2	1	1	i		d	i		i	i							m	1	1	2, -1, 3		2	2	1	4	0.2	0.25	2.5	0.09090909090909091
11	11	1	1	4/2	1	1	i6		d	i		i6	i		6					m	1	1	-1, 3, 2		2	-1	3	2	0.6	0.5	1.25	0.2857142857142857
11	11	3/2	3/2	4/2	1	1	V		d	i		V	V							M	1	1	3, 7, 4		3	3	0	3	0.0	0.0	1.5	0.0
12	12	0	0	4/2	1	1	I}		d	i		I	I						}	M	1	1	2, 6, 3		2	2	0	4	0.0	0.0	8.0	0.0
